,preco,marca,status
2497,500,Distrito Federal,FAZER
2498,501,Distrito Federal,FAZER
2499,502,Distrito Federal,FAZER
2500,503,Distrito Federal,FAZER
2501,504,Distrito Federal,FAZER
2502,505,Distrito Federal,FAZER
2503,506,Distrito Federal,FAZER
2504,507,Distrito Federal,FAZER
2505,508,Distrito Federal,FAZER
2506,509,Distrito Federal,FAZER
2507,510,Distrito Federal,FAZER
2508,511,Distrito Federal,FAZER
2509,512,Distrito Federal,FAZER
2510,513,Distrito Federal,FAZER
2511,514,Distrito Federal,FAZER
2512,515,Distrito Federal,FAZER
2513,516,Distrito Federal,FAZER
2514,517,Distrito Federal,FAZER
2515,518,Distrito Federal,FAZER
2516,519,Distrito Federal,FAZER
2517,520,Distrito Federal,FAZER
2518,521,Distrito Federal,FAZER
2519,522,Distrito Federal,FAZER
2520,523,Distrito Federal,FAZER
2521,524,Distrito Federal,FAZER
2522,525,Distrito Federal,FAZER
2523,526,Distrito Federal,FAZER
2524,527,Distrito Federal,FAZER
2525,528,Distrito Federal,FAZER
2526,529,Distrito Federal,FAZER
2527,530,Distrito Federal,FAZER
2528,531,Distrito Federal,FAZER
2529,532,Distrito Federal,FAZER
2530,533,Distrito Federal,FAZER
2531,534,Distrito Federal,FAZER
2532,535,Distrito Federal,FAZER
2533,536,Distrito Federal,FAZER
2534,537,Distrito Federal,FAZER
2535,538,Distrito Federal,FAZER
2536,539,Distrito Federal,FAZER
2537,540,Distrito Federal,FAZER
2538,541,Distrito Federal,FAZER
2539,542,Distrito Federal,FAZER
2540,543,Distrito Federal,FAZER
2541,544,Distrito Federal,FAZER
2542,545,Distrito Federal,FAZER
2543,546,Distrito Federal,FAZER
2544,547,Distrito Federal,FAZER
2545,548,Distrito Federal,FAZER
2546,549,Distrito Federal,FAZER
2547,550,Distrito Federal,FAZER
2548,551,Distrito Federal,FAZER
2549,552,Distrito Federal,FAZER
2550,553,Distrito Federal,FAZER
2551,554,Distrito Federal,FAZER
2552,555,Distrito Federal,FAZER
2553,556,Distrito Federal,FAZER
2554,557,Distrito Federal,FAZER
2555,558,Distrito Federal,FAZER
2556,559,Distrito Federal,FAZER
2557,560,Distrito Federal,FAZER
2558,561,Distrito Federal,FAZER
2559,562,Distrito Federal,FAZER
2560,563,Distrito Federal,FAZER
2561,564,Distrito Federal,FAZER
2562,565,Distrito Federal,FAZER
2563,566,Distrito Federal,FAZER
2564,567,Distrito Federal,FAZER
2565,568,Distrito Federal,FAZER
2566,569,Distrito Federal,FAZER
2567,570,Distrito Federal,FAZER
2568,571,Distrito Federal,FAZER
2569,572,Distrito Federal,FAZER
2570,573,Distrito Federal,FAZER
2571,574,Distrito Federal,FAZER
2572,575,Distrito Federal,FAZER
2573,576,Distrito Federal,FAZER
2574,577,Distrito Federal,FAZER
2575,578,Distrito Federal,FAZER
2576,579,Distrito Federal,FAZER
2577,580,Distrito Federal,FAZER
2578,581,Distrito Federal,FAZER
2579,582,Distrito Federal,FAZER
2580,583,Distrito Federal,FAZER
2581,584,Distrito Federal,FAZER
2582,585,Distrito Federal,FAZER
2583,586,Distrito Federal,FAZER
2584,587,Distrito Federal,FAZER
2585,588,Distrito Federal,FAZER
2586,589,Distrito Federal,FAZER
2587,590,Distrito Federal,FAZER
