Unnamed: 0,preco,cidade,status
3582,586,Espírito Santo,FAZER
3583,587,Espírito Santo,FAZER
3584,588,Espírito Santo,FAZER
3585,589,Espírito Santo,FAZER
3586,590,Espírito Santo,FAZER
3587,591,Espírito Santo,FAZER
3588,592,Espírito Santo,FAZER
3589,593,Espírito Santo,FAZER
3590,594,Espírito Santo,FAZER
3591,595,Espírito Santo,FAZER
3592,596,Espírito Santo,FAZER
3593,597,Espírito Santo,FAZER
3594,598,Espírito Santo,FAZER
3595,599,Espírito Santo,FAZER
3596,600,Espírito Santo,FAZER
3597,601,Espírito Santo,FAZER
